reward_today	future_reward	delay	key_resp.keys	k
11	30	7	l	0.246753247
78	80	162	l	0.000158278
40	55	62	l	0.006048387
27	50	21	l	0.040564374
15	35	13	l	0.102564103
40	55	62	l	0.006048387
49	60	89	l	0.002522357
27	50	21	l	0.040564374
40	55	62	l	0.006048387
15	35	13	l	0.102564103
11	30	7	l	0.246753247
49	60	89	l	0.002522357
49	60	89	l	0.002522357
67	75	119	l	0.001003386
78	80	162	l	0.000158278
40	55	62	l	0.006048387
15	35	13	l	0.102564103
49	60	89	l	0.002522357
78	80	162	l	0.000158278
67	75	119	l	0.001003386
11	30	7	l	0.246753247
15	35	13	l	0.102564103
27	50	21	l	0.040564374
11	30	7	l	0.246753247
27	50	21	l	0.040564374
40	55	62	l	0.006048387
67	75	119	l	0.001003386
49	60	89	l	0.002522357
27	50	21	l	0.040564374
49	60	89	l	0.002522357
78	80	162	l	0.000158278
40	55	62	l	0.006048387
15	35	13	l	0.102564103
49	60	89	l	0.002522357
11	30	7	l	0.246753247
40	55	62	l	0.006048387
78	80	162	l	0.000158278
15	35	13	l	0.102564103
27	50	21	l	0.040564374
11	30	7	l	0.246753247
11	30	7	l	0.246753247
40	55	62	l	0.006048387
49	60	89	l	0.002522357
78	80	162	l	0.000158278
11	30	7	l	0.246753247
40	55	62	l	0.006048387
15	35	13	l	0.102564103
67	75	119	l	0.001003386
78	80	162	l	0.000158278
67	75	119	l	0.001003386
40	55	62	l	0.006048387
49	60	89	l	0.002522357
11	30	7	l	0.246753247
27	50	21	l	0.040564374
49	60	89	l	0.002522357
67	75	119	l	0.001003386
40	55	62	l	0.006048387
27	50	21	l	0.040564374
67	75	119	t	0.001003386
49	60	89	t	0.002522357
78	80	162	t	0.000158278
67	75	119	t	0.001003386
11	30	7	t	0.246753247
15	35	13	t	0.102564103
27	50	21	t	0.040564374
78	80	162	t	0.000158278
67	75	119	t	0.001003386
15	35	13	t	0.102564103
40	55	62	t	0.006048387
11	30	7	t	0.246753247
27	50	21	t	0.040564374
27	50	21	t	0.040564374
67	75	119	t	0.001003386
78	80	162	t	0.000158278
11	30	7	t	0.246753247
40	55	62	t	0.006048387
49	60	89	t	0.002522357
40	55	62	t	0.006048387
49	60	89	t	0.002522357
78	80	162	t	0.000158278
67	75	119	t	0.001003386
15	35	13	t	0.102564103
11	30	7	t	0.246753247
78	80	162	t	0.000158278
15	35	13	t	0.102564103
27	50	21	t	0.040564374
67	75	119	t	0.001003386
11	30	7	t	0.246753247
27	50	21	t	0.040564374
67	75	119	t	0.001003386
49	60	89	t	0.002522357
67	75	119	t	0.001003386
40	55	62	t	0.006048387
78	80	162	t	0.000158278
15	35	13	t	0.102564103
78	80	162	t	0.000158278
27	50	21	t	0.040564374
67	75	119	t	0.001003386
15	35	13	t	0.102564103
49	60	89	t	0.002522357
27	50	21	t	0.040564374
15	35	13	t	0.102564103
78	80	162	t	0.000158278
15	35	13	t	0.102564103
11	30	7	t	0.246753247
