reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
27.0,50.0,21.0,0,0,0,2,0.07716369999980088,,0.020878199999970093,0.07716369999980088,1.0157054999999673,1.0157054999999673,1.0823206999994,2.0008632999997644,l,0.9694597000006979,None,04,001,2024-11-21_19h19.50.589,PSY310 TASK7,2024.1.5,None,2024-11-21 19h20.10.136446 +0530,
11.0,30.0,7.0,0,1,1,0,2.015539799999715,,2.0024701000002096,2.015539799999715,3.015139199999794,3.015139199999794,3.015139199999794,3.3669300999999905,t,0.3498914000001605,None,04,001,2024-11-21_19h19.50.589,PSY310 TASK7,2024.1.5,None,2024-11-21 19h20.10.136446 +0530,
40.0,55.0,62.0,0,2,2,3,3.3818515000002662,,3.3676305999997567,3.3818515000002662,4.381774399999813,4.381774399999813,4.381774399999813,4.649667900000168,t,0.2524591999999757,None,04,001,2024-11-21_19h19.50.589,PSY310 TASK7,2024.1.5,None,2024-11-21 19h20.10.136446 +0530,
49.0,60.0,89.0,0,3,3,4,4.665224700000181,,4.650427399999899,4.665224700000181,5.665086099999826,5.665086099999826,5.665086099999826,5.834558999999899,t,0.15618150000045716,None,04,001,2024-11-21_19h19.50.589,PSY310 TASK7,2024.1.5,None,2024-11-21 19h20.10.136446 +0530,
15.0,35.0,13.0,0,4,4,1,5.848308499999803,,5.835137899999609,5.848308499999803,6.880515199999536,6.880515199999536,6.880515199999536,7.104392700000062,t,0.20135140000002139,None,04,001,2024-11-21_19h19.50.589,PSY310 TASK7,2024.1.5,None,2024-11-21 19h20.10.136446 +0530,
67.0,75.0,119.0,0,5,5,5,7.119997400000102,,7.104973299999983,7.119997400000102,8.11795710000024,8.11795710000024,8.134629099999984,10.150929200000064,t,2.0305269000000408,None,04,001,2024-11-21_19h19.50.589,PSY310 TASK7,2024.1.5,None,2024-11-21 19h20.10.136446 +0530,
78.0,80.0,162.0,0,6,6,6,10.18130359999941,,10.152007699999558,10.18130359999941,11.165098800000123,11.165098800000123,11.182722599999579,11.533610899999985,t,0.3618787000004886,None,04,001,2024-11-21_19h19.50.589,PSY310 TASK7,2024.1.5,None,2024-11-21 19h20.10.136446 +0530,
40.0,55.0,62.0,1,0,7,3,11.550578499999574,,11.535495600000104,11.550578499999574,12.548514299999624,12.548514299999624,12.56500270000015,12.783446299999923,t,0.22395330000017566,None,04,001,2024-11-21_19h19.50.589,PSY310 TASK7,2024.1.5,None,2024-11-21 19h20.10.136446 +0530,
49.0,60.0,89.0,1,1,8,4,12.798036799999863,,12.784076199999618,12.798036799999863,13.798093399999743,13.798093399999743,13.798093399999743,14.066109999999753,t,0.2593344999995679,None,04,001,2024-11-21_19h19.50.589,PSY310 TASK7,2024.1.5,None,2024-11-21 19h20.10.136446 +0530,
11.0,30.0,7.0,1,2,9,0,14.08129099999951,,14.067638100000295,14.08129099999951,15.081401999999798,15.081401999999798,15.081401999999798,15.367392000000109,t,0.2697347000002992,None,04,001,2024-11-21_19h19.50.589,PSY310 TASK7,2024.1.5,None,2024-11-21 19h20.10.136446 +0530,
67.0,75.0,119.0,1,3,10,5,15.382571500000267,,15.368880399999398,15.382571500000267,16.381255999999667,16.381255999999667,16.39803589999974,16.632410700000037,t,0.2477420000004713,None,04,001,2024-11-21_19h19.50.589,PSY310 TASK7,2024.1.5,None,2024-11-21 19h20.10.136446 +0530,
27.0,50.0,21.0,1,4,11,2,16.64816729999984,,16.634089099999983,16.64816729999984,17.64796060000026,17.64796060000026,17.64796060000026,17.834211100000175,t,0.17033590000028198,None,04,001,2024-11-21_19h19.50.589,PSY310 TASK7,2024.1.5,None,2024-11-21 19h20.10.136446 +0530,
78.0,80.0,162.0,1,5,12,6,17.847845499999494,,17.83570779999991,17.847845499999494,18.84791200000018,18.84791200000018,18.84791200000018,19.14882639999996,t,0.29580650000025344,None,04,001,2024-11-21_19h19.50.589,PSY310 TASK7,2024.1.5,None,2024-11-21 19h20.10.136446 +0530,
15.0,35.0,13.0,1,6,13,1,19.164289600000302,,19.14942079999946,19.164289600000302,20.16445779999958,20.16445779999958,20.16445779999958,20.6154918000002,t,0.4348665000006804,None,04,001,2024-11-21_19h19.50.589,PSY310 TASK7,2024.1.5,None,2024-11-21 19h20.10.136446 +0530,
78.0,80.0,162.0,2,0,14,6,20.630855800000063,,20.61597840000013,20.630855800000063,21.631078100000195,21.631078100000195,21.631078100000195,21.91549589999977,t,0.26890629999979865,None,04,001,2024-11-21_19h19.50.589,PSY310 TASK7,2024.1.5,None,2024-11-21 19h20.10.136446 +0530,
27.0,50.0,21.0,2,1,15,2,21.93091529999947,,21.916146699999445,21.93091529999947,22.914408900000126,22.914408900000126,22.93105899999955,23.248597900000277,t,0.3222662999996828,None,04,001,2024-11-21_19h19.50.589,PSY310 TASK7,2024.1.5,None,2024-11-21 19h20.10.136446 +0530,
15.0,35.0,13.0,2,2,16,1,23.26406979999956,,23.249087399999553,23.26406979999956,24.26424450000013,24.26424450000013,24.26424450000013,24.29972480000015,t,0.03130109999983688,None,04,001,2024-11-21_19h19.50.589,PSY310 TASK7,2024.1.5,None,2024-11-21 19h20.10.136446 +0530,
40.0,55.0,62.0,2,3,17,3,24.314590599999974,,24.300955199999407,24.314590599999974,25.314153399999668,25.314153399999668,25.314153399999668,25.73169710000002,t,0.40336260000003676,None,04,001,2024-11-21_19h19.50.589,PSY310 TASK7,2024.1.5,None,2024-11-21 19h20.10.136446 +0530,
67.0,75.0,119.0,2,4,18,5,25.74730989999989,,25.734254599999986,25.74730989999989,26.74736919999941,26.74736919999941,26.74736919999941,27.098468700000012,t,0.33616319999964617,None,04,001,2024-11-21_19h19.50.589,PSY310 TASK7,2024.1.5,None,2024-11-21 19h20.10.136446 +0530,
